product_name,price_after_discnt,percent_discnt
"Fruit Of The Wokali  Breast Firming Cream With VitaminE, Collagen & Elastin",KSh 380,42%
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,KSh 915,
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 899,31%
Maybelline Lasting Fix Setting Spray,"KSh 1,554",30%
Maybelline Superstay Skin Tint Shade  63 With Vitamin C,"KSh 1,875",25%
"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 10,499",10%
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 MAh, 4G, Dual SIM - Starlit Black","KSh 10,799",28%
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 8,940",11%
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 MAh, 4G, Dual SIM - Horizon Gold","KSh 10,799",28%
"Tecno Camon 30, 6.78"", 256GB + 8GB RAM (+8GB Extended), Dual SIM, 5000mAh, 4G, Iceland Basaltic Dark","KSh 28,999",11%
"XIAOMI Redmi Note 13, 6.67"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Midnight Black","KSh 20,999",13%
"Tecno Pop  7 6.6""HD+, 2GB RAM+64GB, 8MP, 4G (Dual Sim) 5000MAh - Endless Black","KSh 9,999",9%
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starlit Black","KSh 12,080",7%
"Infinix Note 40, 6.78"", 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Titan Gold","KSh 25,999",48%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 12,080",7%
"Samsung Galaxy A14 4G, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black, (2YRS WRTY)","KSh 13,999",30%
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue","KSh 18,999",17%
"Freeyond M5A - 6.6""  256GB ROM, 16GB RAM, 50MP Camera, 5000mAh, Dual SIM - Black","KSh 12,650",37%
"Samsung Galaxy A54 5G, 6.4"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Lime","KSh 44,999",20%
"Samsung Galaxy F14 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Black","KSh 19,590",35%
Rosy Toilet Paper White 10 Pack Unwrapped.,KSh 269,32%
Rosy Toilet Paper Extra White 10 X 4 Wrapped,"KSh 1,099",15%
Velvex Shower Gel 5 Litres Ocean Breeze,KSh 750,
Kotex Ultrathin Super Duo 16's,KSh 234,1%
Velvex Eco-Friendly Kitchen Towel Twin Pack,KSh 230,
Menengai Menengai Cream Bar Soap - 1kg,KSh 179,28%
Fay Fay Kitchen Towels Twin Pack,KSh 257,30%
Menengai Menengai Cream Bar Soap - 800g,KSh 149,34%
Toilex Toilet Paper White 8 Pack X 6 Unwrapped,"KSh 2,088",
Velvex Aluminium Foil 45cm X 60m Single Roll,"KSh 1,725",
Dawn Pekee Smart Toilet Paper 10 Pack Wrapped,KSh 245,
Nice & Soft White Standard Serviettes 100 Sheets,KSh 130,
Rosy Printed Serviettes 100 Sheets,KSh 120,
Omo Auto Washing Powder Extra Fresh - 2kg,KSh 942,22%
Harpic Harpic Toilet Cleaner: Lemon 1000ml,KSh 814,29%
"Skyworth 43E5500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)","KSh 27,599",40%
TAGWOOD 2.1CH 6000W PMPO Woofer Home Audio Speaker BT/FM/SB/USB Subwoofer SpeakerSystem (1YR WRTY),"KSh 4,400",21%
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black (1 YR WRTY)","KSh 19,599",30%
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black","KSh 28,499",29%
Vision Plus VP2110SB - 2.1CH Soundbar With Bluetooth - Black (2YRs WRTY),"KSh 7,199",28%
"Skyworth 32E57, 32-inches Full HD Frameless Smart Google TV, Black (1YR WRTY)","KSh 15,599",48%
"TCL 50"" P635 4K HDR Google TV - Black","KSh 42,699",15%
"Vitron 43"" Inch FHD Frameless Smart Android TV INBUILT DECODER+FREE Bracket+Extension","KSh 22,195",26%
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 19,769",25%
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,450",28%
